Liber Quartus: De Sacramento Altaris.	THE FOURTH BOOK: ON THE SACRAMENT OF THE ALTAR
De devota exhortatione ad sacram Corporis Christi communionem.	A devout exhortation to the Holy Communion
Vox Christi dicit.	The Voice of Christ
Venite ad me omnes, qui laboratis et onerati estis, et ego reficiam vos,dicit Dominus.Panis quem ego dabo caro mea est, pro mundi vita. Accipite et comedite: hoc est Corpus meum quod pro vobis tradetur: hoc facite in meam commemorationem. Qui manducat meam carnem, et bibit meam sanguinem, in me manet et ego in eo. Verba quæ ego locutus sum nobis, spiritus et vita sunt.	Come unto Me, all ye that labour and are heavy laden, and I will refresh you, saith the Lord. The bread that I will give is My flesh which I give for the life of the world. Take, eat: this is My Body, which is given for you; this do in remembrance of Me. He that eateth My flesh and drinketh My blood dwelleth in Me and I in him. The words that I speak unto you, they are spirit, and they are life.
Cap. I.  Cum quanta devotione Christus sit suscipiendus.	CHAPTER I With how great reverence Christ must be received
1. Hæc sunt verba tua, Christe, Veritas æterna, quamvis non in uno tempore prolata, nec uno in loco conscripta. Quia ergo tua grantater mihi et fideliter sunt accipienda, tua sunt, et tu ea protulisti, et mea quoque sunt, quia pro salute mea edidisti: libenter suspicio ea ex ore tuo, ut aptius inferantur cordi meo. Excitant me verba tantæ pietatis, plena dulcendinis et dilectionis: sed terrent me delicta propria, et ad capienda tanta mysteria me reverberat impura conscientia. Provocat me dulcedo verborum tuorum, sed onerat me multitudo vitiorum meorum.	1. These are Thy words, O Christ, Eternal Truth; though not uttered at one time nor written together in one place of Scripture. Because therefore they are Thy words and true, I must gratefully and faithfully receive them all. They are Thine, and Thou hast uttered them; and they are mine also, because Thou didst speak them for my salvation. Gladly I receive them from Thy mouth, that they may be more deeply implanted in my heart. Words of such great grace arouse me, for they are full of sweetness and love; but my own sins terrify me, and my impure conscience driveth me away from receiving so great mysteries. The sweetness of Thy words encourageth me, but the multitude of my faults presseth me down.
2. Jubes ut fiducialiter ad te accedam, si tecum velim habere partem, et immortalitatis accipiam alimoniam, si æternam cupiam obtinere vitam et gloriam.Venite,inquis,ad me omnes, qui laboratis et onerasti estis et ego reficiam vos.O, dulce et amicabile verbum in aure peccatoris, quo tu, Domine Deus meus, egenum et pauperem invitas ad communionem tui sanctissimi Corporis. Sed quis ego sum, Dominus, ut ad te præsumam accedere?Ecce cæli cælorum te non capiunt,et tu dicis:Venite ad me omnes?	2. Thou commandest that I draw near to Thee with firm confidence, if I would have part with Thee, and that I receive the food of immortality, if I desire to obtain eternal life and glory. Come unto Me, sayest Thou, all that labour and are heavy laden, and I will refresh you. Oh, sweet and lovely word in the ear of the sinner, that Thou, O Lord my God, dost invite the poor and needy to the Communion of Thy most holy body and blood. But who am I, O Lord, that I should presume to approach unto Thee? Behold the heaven of heavens cannot contain Thee, and yet Thou sayest, Come ye all unto Me.
3. Quid vult ista piissima dignatio, et tam amicabilis invitatio? Quomodo ausus ero venire, qui nihil boni mihi conscius sum, unde possim præsumere? Quomodo te introducam in domum meam, qui sæpius offendi benignissimam faciem tuam? Reverentur Angeli et Archangeli, metuunt Sancti et Justi, et tu dicis:Venite ad me omnes?Nam nisi tu, Domine, diceres, quis verum esse crederet? Et nisi tu juberes, quis accedere tentaret?	3. What meaneth this most gracious condescension, this most lovely invitation? How shall I dare to come, who know no good thing of myself, whence I might be able to presume? How shall I bring Thee within my house, seeing that I so often have sinned in Thy most loving sight? Angels and Archangels stand in awe of Thee, the Saints and just men fear Thee, and Thou sayest, Come unto Me! Except Thou, Lord, hadst said it, who should believe it true? And except Thou hadst commanded, who should attempt to draw near?
4. Ecce vir justus Noe in arcæ fabrica centum annis laboravit, ut cum paucis salvaretur: et ego quomodo potero me una hora præparare, ut mundi fabricatorent cum reverentia sumam? Moyses, famulus tuus, magnus et specialis amicus tuus, arcam ex lignis imputribilibus fecit, quam et mundissimo vestivit auro, ut tabulas Legis in ea reponeret: et ego putrida creatura, audebo te Conditorem legis, ac vitæ datorem tuam facile suscipere? Salomon, sapientissimus regum Israel, magnificum templukm septem annis in laudem nominis tui ædificavit, et octo diebus festum dedicationis ejus celebravit, mille hostias pacificas obtulit, et arcam fæderis, clangore buccinæ et jubilo in loco sibi præparato solemniter collocavit. Et ego infelix et pauperrimus hominum, quomodo te in domum meam introducam, qui vix mediam expendere devote novi horam, et utinam vel fere semel mediam digne.	4. Behold, Noah, that just man, laboured for a hundred years in building the ark, that he might be saved with the few; and I, how shall I be able in one hour to prepare myself to receive the Builder of the world with reverence? Moses, Thy servant, Thy great and especial friend, made an ark of incorruptible wood, which also he covered with purest gold, that he might lay up in it the tables of the law, and I, a corruptible creature, shall I dare thus easily to receive Thee, the Maker of the Law and the Giver of life? Solomon, the wisest of the kings of Israel, was seven years building his magnificent temple to the praise of Thy Name, and for eight days celebrated the feast of its dedication, offered a thousand peace offerings, and solemnly brought up the Ark of the Covenant to the place prepared for it, with the sound of trumpets and great joy, and I, unhappy and poorest of mankind, how shall I bring Thee into my house, who scarce know how to spend half an hour in devotion? And oh that it were even one half hour worthily spent!
5. O, mi Deus, quantum illi ad placendum tibi agere studuerunt. Heu quam pusillum est quod ago, quam breve expleo tempus, cum me ad communicandum dispono. Raro totus collectus, rarissime abo omni distractione purgatus.	5. O my God, how earnestly these holy men strove to please Thee! And alas! how little and trifling is that which I do! how short a time do I spend, when I am disposing myself to Communion. Rarely altogether collected, most rarely cleansed from all distraction. And surely in the saving presence of Thy Godhead no unmeet thought ought to intrude, nor should any creature take possession of me, because it is not an Angel but the Lord of the Angels, that I am about to receive as my Guest.
6. Et certe in tua salutari Deitatis præsentia nulla deberet occurrere indecens cogitatio; nulla etiam occupare creatura, quia non ad Angelum, sed Angelorum Dominum suscepturus sum hospitio. Est tamen magna distantia inter arcam fœderis Domini cum suis reliquiis, et mundissimum Corpus tuum cum suis ineffabilibus virtutibus; inter legalia illa sacrificia futurorum præfigurativa, et veram tui Corporis hostiam, omnium antiquorum sacrificiorum completivam.	6. Yet there is a vast difference between the Ark of the Covenant with its relics, and Thy most pure Body with its ineffable virtues, between those sacrifices of the law, which were figures of things to come, and the true sacrifice of Thy Body, the completion of all the ancient sacrifices.
