Liber PrimusAdmonitiones ad Vitam spiritualem utiles.	THE FIRST BOOK ADMONITIONS PROFITABLE FOR THE SPIRITUAL LIFE
Cap. I.  De imitatione Christi et contemptu mundi omniumque eius vanitatum.	CHAPTER I Of the imitation of Christ, and of contempt of the world and all its vanities
1.Qui sequitur me non ambulat in tenebrisdicit Dominus. Hæc sunt verba Christi, quibus admonemur quatenus vitam eius et mores imitemur, si volumus veraciter illuminari, et ab omni cæcitate cordis liberari. Summum igitur studium nostrum, sit in vita Jesu meditari.	1. He that followeth me shall not walk in darkness, saith the Lord. These are the words of Christ; and they teach us how far we must imitate His life and character, if we seek true illumination, and deliverance from all blindness of heart. Let it be our most earnest study, therefore, to dwell upon the life of Jesus Christ.
2. Doctrina Ejus omnes doctrinas Sanctorum præcellit, et qui spiritum haberetabsconditum ibi mannainveniret. Sed contingit quod multi ex frequenti auditu Evangelii parvum desiderium sentiunt, quia spiritum Chrisi non habent. Qui autem vult plene et sapide verba Christi intelligere, oportet ut totam vitam suam illi studeat conformare.	2. His teaching surpasseth all teaching of holy men, and such as have His Spirit find therein the hidden manna. But there are many who, though they frequently hear the Gospel, yet feel but little longing after it, because they have not the mind of Christ. He, therefore, that will fully and with true wisdom understand the words of Christ, let him strive to conform his whole life to that mind of Christ.
3. Quid prodest tibi alta de Trinitate disputare, si careas humilitate unde displiceas Trinitati? Vere alta verba non faciunt sanctum et justum, sed virtuosa vita efficit Deo carum. Opto magis sentire compunctionem quam scire definitionem. Si scires totam Bibliam, et omnium philosophorum dicta quid totum prodesset, sine charitate et gratia?Vanitas vanitatum et omnia vanitaspræter amare Deum et illi soli fervire. Ista est summa sapientia per contemptum mundi tendere ad regna cælestia.	3. What doth it profit thee to enter into deep discussion concerning the Holy Trinity, if thou lack humility, and be thus displeasing to the Trinity? For verily it is not deep words that make a man holy and upright; it is a good life which maketh a man dear to God. I had rather feel contrition than be skilful in the definition thereof. If thou knewest the whole Bible, and the sayings of all the philosophers, what should all this profit thee without the love and grace of God? Vanity of vanities, all is vanity, save to love God, and Him only to serve. That is the highest wisdom, to cast the world behind us, and to reach forward to the heavenly kingdom.
4. Vanitas igitur est divitias perituras quærere, et in illis sperare. Vanitas quoque est honores ambire, et in altum se extollere. Vanitas est carnis desideria sequi, et illud desiderare unde postmodum graviter oportet puniri. Vanitas est longam vitam optare, et de bona vita modicum curare. Vanitas est præsentem vitam solum attendere, et quæ futura sunt non prævidere. Vanitas est diligere quod cum omni celeritate transit, et illuc non festinare ubi sempiternum manet gaudium.	4. It is vanity then to seek after, and to trust in, the riches that shall perish. It is vanity, too, to covet honours, and to lift up ourselves on high. It is vanity to follow the desires of the flesh and be led by them, for this shall bring misery at the last. It is vanity to desire a long life, and to have little care for a good life. It is vanity to take thought only for the life which now is, and not to look forward to the things which shall be hereafter. It is vanity to love that which quickly passeth away, and not to hasten where eternal joy abideth.
5. Stude ergo cor tuum ab amore visibilium abstrahere, et ad invisiblia te transferre.  Nam sequentes suam sensualitatem maculant conscientiam, et perdunt Dei gratiam.	5. Be ofttimes mindful of the saying, The eye is not satisfied with seeing, nor the ear with hearing. Strive, therefore, to turn away thy heart from the love of the things that are seen, and to set it upon the things that are not seen. For they who follow after their own fleshly lusts, defile the conscience, and destroy the grace of God.
Cap. 2. De humili scire sui ipsius.	CHAPTER II Of thinking humbly of oneself
1. Omnis homo naturaliter scire desiderat. Sed scientia sine timore Dei quid importat? Melior est profecto Rusticus humilis, qui Deo fervit, quam superbus Philosophus, qui se neglecto cursum cæli confiderat.  Qui bene se ipsum cognoscit sibi ipsi vilescit, nec laudibus delectatur humanis. Si scirem omnia quæ in mundo sunt, et non essem in charitate, quid me juvaret coram Deo, qui me judicaturus est ex facto?	1. There is naturally in every man a desire to know, but what profiteth knowledge without the fear of God? Better of a surety is a lowly peasant who serveth God, than a proud philosopher who watcheth the stars and neglecteth the knowledge of himself. He who knoweth himself well is vile in his own sight; neither regardeth he the praises of men. If I knew all the things that are in the world, and were not in charity, what should it help me before God, who is to judge me according to my deeds?
2. Quiesce a nimio discendi desiderio, quia ibi magna incitatur distractio et deceptio. Scientes volunt libenter docti videri et sapientes dici. Multa sunt quæ scire animæ parum vel nihil prodest. Et valde insipiens est, qui aliquibus magis intendit, quam his quæ saluti suæ deserviunt.  Multa verba non satiant animam, sed bona vita refrigerat mentem, et pura conscientia magnam ad Deum præstat confidentiam.	2. Rest from inordinate desire of knowledge, for therein is found much distraction and deceit. Those who have knowledge desire to appear learned, and to be called wise. Many things there are to know which profiteth little or nothing to the soul. And foolish out of measure is he who attendeth upon other things rather than those which serve to his soul’s health. Many words satisfy not the soul, but a good life refresheth the mind, and a pure conscience giveth great confidence towards God.
3. Quanto plus et melius scis, tanto gravius judicaberis inde nisi sancte vixeris. Noli ergo extolli de ulla arte vel scientia, sed potius time de data tibi notitia. Si tibi videtur quod multa scias et satis bene intelligas, scito tamen quia sunt multo plura quæ nesci.Noli sapere altum,sed ignorantiam tuam magis fatere. Quid te vis alicui præferre, cum plures doctiores te inveniantur, et magis in lege periti.  Si vis aliquid utiliter scire, et discere, ama nesciri, et pro nihilo reputari.	3. The greater and more complete thy knowledge, the more severely shalt thou be judged, unless thou hast lived holily. Therefore be not lifted up by any skill or knowledge that thou hast; but rather fear concerning the knowledge which is given to thee. If it seemeth to thee that thou knowest many things, and understandest them well, know also that there are many more things which thou knowest not. Be not high-minded, but rather confess thine ignorance. Why desirest thou to lift thyself above another, when there are found many more learned and more skilled in the Scripture than thou? If thou wilt know and learn anything with profit, love to be thyself unknown and to be counted for nothing.
